pedido_id,fecha_pedido,fecha_entrega,anio_pedido,mes_pedido,dia_semana_pedido,dias_entrega,pedido_retrasado,retraso_dias,km_recorridos,costo_transporte,costo_por_km,municipio,tipo_cliente,id_autoparte,categoria,costo_unitario,stock_actual,stock_minimo,margen_stock,ratio_stock,pais_proveedor,ruta
11,2022-05-06,2022-05-08,2022,5,5,2,0,0,127.5,1822.55,14.29,Corregidora,Planta,14-SUS,Suspensión,1917.93,1250,616,634,2.03,México,QRO-SLP
12,2026-05-18,2026-05-31,2026,5,1,13,1,4,327.6,2968.24,9.06,Corregidora,Taller,38-SUS,Suspensión,1970.13,3514,114,3400,30.82,Alemania,QRO-MQZ
13,2025-08-22,2025-08-28,2025,8,5,6,1,3,43.1,811.31,18.82,Celaya,Tier1,83-SUS,Suspensión,3433.69,358,401,-43,0.89,México,QRO-MQZ
14,2026-05-03,2026-06-01,2026,5,0,29,1,19,46,775.39,16.86,San Luis Potosí,Tier1,55-SUS,Suspensión,105.27,1887,966,921,1.95,México,QRO-SJR
15,2026-05-21,2026-06-01,2026,5,4,11,1,1,202.7,2439.58,12.04,San Juan del Río,Planta,16-SUS,Suspensión,2880.89,356,123,233,2.89,México,QRO-SJR
16,2024-12-06,2024-12-14,2024,12,5,8,1,5,214.2,3610.06,16.85,Celaya,Tier1,25-ARN,Arneses,3915.2,4208,808,3400,5.21,China,QRO-SJR
17,2024-05-19,2024-05-21,2024,5,0,2,0,0,29.3,403.15,13.76,Corregidora,Distribuidor,78-SUS,Suspensión,3109.5,4399,835,3564,5.27,Japón,QRO-MQZ
18,2025-12-09,2025-12-16,2025,12,2,7,1,4,191,3200.22,16.76,León,Tier1,72-SUS,Suspensión,234.19,3605,243,3362,14.84,México,QRO-CEL
19,2022-10-03,2022-10-07,2022,10,1,4,1,1,312.7,5187.76,16.59,Celaya,Tier1,23-ARN,Arneses,856.04,2511,134,2377,18.74,Japón,QRO-SJR
20,2024-08-28,2024-08-31,2024,8,3,3,0,0,333.4,5015.5,15.04,Corregidora,Distribuidor,98-FRE,Frenos,1762.7,3662,966,2696,3.79,Alemania,QRO-SJR
21,2026-05-22,2026-06-01,2026,5,5,10,0,0,213.2,3628.9,17.02,Corregidora,Planta,88-SEN,Sensores,674.64,467,107,360,4.36,Alemania,QRO-SLP
22,2026-05-05,2026-05-27,2026,5,2,22,1,17,110.4,2144.83,19.43,Querétaro,Tier1,53-FRE,Frenos,818.13,4754,550,4204,8.64,Japón,QRO-SLP
23,2021-03-20,2021-03-26,2021,3,6,6,1,3,161.9,2091.63,12.92,El Marqués,Distribuidor,83-ELE,Electrónica,2047.97,1307,286,1021,4.57,México,QRO-SLP
24,2025-03-06,2025-03-14,2025,3,4,8,1,5,297,2763.78,9.31,Celaya,Planta,17-SUS,Suspensión,2687.14,2633,740,1893,3.56,USA,QRO-CEL
25,2024-10-01,2024-10-02,2024,10,2,1,0,0,189.8,2133.45,11.24,El Marqués,Taller,90-SEN,Sensores,2337.67,4635,431,4204,10.75,Alemania,QRO-MQZ
26,2026-05-09,2026-06-01,2026,5,6,23,1,13,107.2,1140.16,10.64,Corregidora,Distribuidor,18-ELE,Electrónica,3808.96,3955,122,3833,32.42,México,QRO-MQZ
27,2024-07-14,2024-07-16,2024,7,0,2,0,0,167.5,1448.23,8.65,Querétaro,Planta,94-ELE,Electrónica,673.59,2723,409,2314,6.66,USA,QRO-SLP
28,2024-05-24,2024-06-01,2024,5,5,8,1,5,34.2,374.32,10.95,Querétaro,Planta,43-SUS,Suspensión,2851.8,2949,285,2664,10.35,Alemania,QRO-SJR
29,2021-11-20,2021-11-25,2021,11,6,5,1,2,246.7,4441.29,18,San Juan del Río,Planta,18-SUS,Suspensión,340.23,926,375,551,2.47,USA,QRO-SLP
30,2025-05-21,2025-05-23,2025,5,3,2,0,0,338,2764.99,8.18,San Juan del Río,Taller,42-ELE,Electrónica,3324.88,3038,963,2075,3.15,Alemania,QRO-MQZ
31,2022-02-02,2022-02-03,2022,2,3,1,0,0,279.9,4904.58,17.52,El Marqués,Taller,1-ELE,Electrónica,4919.31,1189,945,244,1.26,China,QRO-SJR
32,2021-11-02,2021-11-06,2021,11,2,4,1,1,21.7,308.64,14.22,León,Planta,86-SEN,Sensores,2869.97,158,622,-464,0.25,China,QRO-CEL
33,2026-05-09,2026-05-29,2026,5,6,20,1,13,136,2306.03,16.96,Corregidora,Planta,1-ELE,Electrónica,4919.31,1189,945,244,1.26,Alemania,QRO-SLP
34,2026-05-08,2026-05-25,2026,5,5,17,1,14,107.8,1744.08,16.18,Corregidora,Tier1,25-FRE,Frenos,2232.98,3690,225,3465,16.4,México,QRO-MQZ
35,2023-09-02,2023-09-07,2023,9,6,5,1,2,117.1,1149.32,9.81,Corregidora,Distribuidor,20-ELE,Electrónica,4578.72,3498,121,3377,28.91,Alemania,QRO-SJR
36,2026-03-30,2026-04-02,2026,3,1,3,0,0,331.9,4857.14,14.63,San Juan del Río,Planta,89-SEN,Sensores,4357.78,2341,878,1463,2.67,China,QRO-MQZ
37,2022-07-21,2022-07-25,2022,7,4,4,1,1,165.9,3297.71,19.88,Celaya,Planta,21-ELE,Electrónica,2331.02,422,893,-471,0.47,México,QRO-MQZ
38,2021-07-21,2021-07-29,2021,7,3,8,1,5,232.4,2241.8,9.65,El Marqués,Taller,6-FRE,Frenos,4765.97,4975,994,3981,5.01,México,QRO-SJR
39,2025-11-10,2025-11-11,2025,11,1,1,0,0,19.3,155.61,8.06,San Luis Potosí,Tier1,21-ARN,Arneses,2688.88,472,527,-55,0.9,Japón,QRO-CEL
40,2023-06-08,2023-06-10,2023,6,4,2,0,0,309.9,3753.21,12.11,León,Tier1,33-SEN,Sensores,4299.55,4446,746,3700,5.96,Japón,QRO-CEL
41,2022-04-23,2022-04-25,2022,4,6,2,0,0,222.2,2057.69,9.26,El Marqués,Tier1,52-SEN,Sensores,2701.62,2240,729,1511,3.07,México,QRO-CEL
42,2022-01-25,2022-01-29,2022,1,2,4,1,1,277.4,4771.88,17.2,San Juan del Río,Taller,45-FRE,Frenos,1728.34,1258,154,1104,8.17,México,QRO-MQZ
43,2024-12-30,2024-12-31,2024,12,1,1,0,0,312.8,4230.39,13.52,Celaya,Tier1,72-FRE,Frenos,2982.1,4614,609,4005,7.58,Japón,QRO-SLP
44,2023-05-01,2023-05-06,2023,5,1,5,1,2,136.1,1748.03,12.84,Corregidora,Planta,9-FRE,Frenos,366.33,1374,473,901,2.9,México,QRO-CEL
45,2021-06-08,2021-06-11,2021,6,2,3,0,0,305.2,5026.81,16.47,Corregidora,Tier1,8-FRE,Frenos,1993.18,2763,635,2128,4.35,USA,QRO-CEL
46,2026-05-05,2026-06-01,2026,5,2,27,1,17,231.6,2243.36,9.69,Celaya,Planta,78-SEN,Sensores,1084.74,2183,681,1502,3.21,Japón,QRO-SLP
47,2021-11-15,2021-11-17,2021,11,1,2,0,0,40.1,344.92,8.6,San Juan del Río,Tier1,24-ELE,Electrónica,4055.81,2955,652,2303,4.53,Alemania,QRO-MQZ
48,2022-02-01,2022-02-02,2022,2,2,1,0,0,240.4,4113.34,17.11,Corregidora,Tier1,37-ARN,Arneses,1422.73,3772,947,2825,3.98,China,QRO-SLP
49,2023-11-12,2023-11-18,2023,11,0,6,1,3,21.4,213.65,9.98,Querétaro,Planta,7-ARN,Arneses,2965.42,1199,206,993,5.82,México,QRO-CEL
50,2025-03-03,2025-03-06,2025,3,1,3,0,0,256.1,3876.38,15.14,León,Tier1,19-SUS,Suspensión,4085.71,2770,814,1956,3.4,México,QRO-SLP
51,2022-05-28,2022-05-29,2022,5,6,1,0,0,182.3,2449.76,13.44,El Marqués,Tier1,45-FRE,Frenos,1728.34,1258,154,1104,8.17,USA,QRO-CEL
52,2023-06-20,2023-06-22,2023,6,2,2,0,0,310,5093.92,16.43,Celaya,Tier1,22-SEN,Sensores,4518.66,3974,785,3189,5.06,México,QRO-MQZ
53,2024-05-23,2024-05-27,2024,5,4,4,1,1,132.4,2058.54,15.55,Celaya,Tier1,32-SUS,Suspensión,4111.1,4658,655,4003,7.11,USA,QRO-SJR
54,2021-05-23,2021-05-30,2021,5,0,7,1,4,273.9,3002.43,10.96,León,Planta,93-SEN,Sensores,4236.96,1229,379,850,3.24,USA,QRO-SJR
55,2024-02-15,2024-02-22,2024,2,4,7,1,4,293,3345.68,11.42,León,Taller,64-ARN,Arneses,324.29,3235,687,2548,4.71,Alemania,QRO-SJR
56,2026-05-14,2026-05-28,2026,5,4,14,1,8,60.5,1126.72,18.62,San Juan del Río,Taller,48-SUS,Suspensión,3762.52,1609,412,1197,3.91,Alemania,QRO-MQZ
57,2025-12-23,2025-12-27,2025,12,2,4,1,1,173,2141.88,12.38,León,Planta,41-FRE,Frenos,402.6,1519,142,1377,10.7,USA,QRO-CEL
58,2022-09-19,2022-09-23,2022,9,1,4,1,1,349,5564.17,15.94,León,Tier1,52-FRE,Frenos,1237.74,4520,880,3640,5.14,USA,QRO-SLP
59,2025-09-12,2025-09-16,2025,9,5,4,1,1,188.1,3160.35,16.8,Corregidora,Tier1,80-SUS,Suspensión,3018.8,2364,799,1565,2.96,China,QRO-MQZ
60,2026-05-20,2026-06-01,2026,5,3,12,1,2,44.3,463.86,10.47,Querétaro,Tier1,9-ELE,Electrónica,3081.81,4325,472,3853,9.16,USA,QRO-SJR
61,2021-04-25,2021-05-03,2021,4,0,8,1,5,299,3684.03,12.32,León,Tier1,3-SUS,Suspensión,3159.17,1739,584,1155,2.98,USA,QRO-MQZ
62,2026-05-13,2026-05-27,2026,5,3,14,1,9,196.4,2173.74,11.07,Celaya,Distribuidor,91-FRE,Frenos,4291.8,4493,112,4381,40.12,Alemania,QRO-SJR
63,2026-05-09,2026-05-26,2026,5,6,17,1,13,144.4,2613.3,18.1,El Marqués,Tier1,95-SEN,Sensores,3843.72,3856,664,3192,5.81,México,QRO-SLP
64,2022-08-17,2022-08-25,2022,8,3,8,1,5,88.8,789.43,8.89,León,Tier1,87-ARN,Arneses,4993.62,4977,367,4610,13.56,China,QRO-SLP
65,2025-04-01,2025-04-08,2025,4,2,7,1,4,240.1,2252.98,9.38,Corregidora,Distribuidor,17-SUS,Suspensión,2687.14,2633,740,1893,3.56,Japón,QRO-CEL
66,2024-12-26,2025-01-03,2024,12,4,8,1,5,315.4,3784.49,12,Querétaro,Distribuidor,13-SUS,Suspensión,186.07,4142,666,3476,6.22,China,QRO-MQZ
67,2021-04-12,2021-04-15,2021,4,1,3,0,0,75.2,1248.94,16.61,Corregidora,Distribuidor,76-SUS,Suspensión,1064.99,2521,492,2029,5.12,USA,QRO-SLP
68,2026-05-24,2026-06-04,2026,5,0,11,0,0,17.1,251.14,14.69,El Marqués,Taller,46-SUS,Suspensión,1653.36,4322,935,3387,4.62,China,QRO-SLP
69,2026-05-01,2026-05-27,2026,5,5,26,1,21,151.9,1868.89,12.3,León,Taller,22-FRE,Frenos,473.66,3099,887,2212,3.49,China,QRO-CEL
70,2026-05-25,2026-06-04,2026,5,1,10,0,0,144.5,1921.92,13.3,San Luis Potosí,Planta,77-FRE,Frenos,1286.73,3721,625,3096,5.95,Alemania,QRO-MQZ
71,2023-06-30,2023-07-05,2023,6,5,5,1,2,173.7,1705.87,9.82,Corregidora,Taller,49-SUS,Suspensión,2456.79,4682,791,3891,5.92,Japón,QRO-MQZ
72,2025-03-09,2025-03-11,2025,3,0,2,0,0,277.2,4167.27,15.03,El Marqués,Taller,83-SUS,Suspensión,3433.69,358,401,-43,0.89,Alemania,QRO-CEL
73,2026-05-11,2026-05-26,2026,5,1,15,1,11,129.3,2064.74,15.97,Corregidora,Distribuidor,26-SUS,Suspensión,4121.98,3676,530,3146,6.94,Japón,QRO-CEL
74,2026-05-02,2026-05-26,2026,5,6,24,1,20,344.3,4708.19,13.67,San Luis Potosí,Tier1,9-FRE,Frenos,366.33,1374,473,901,2.9,Japón,QRO-SJR
75,2025-07-02,2025-07-07,2025,7,3,5,1,2,274.8,4414.19,16.06,Querétaro,Planta,43-SEN,Sensores,2429.63,4819,141,4678,34.18,China,QRO-SJR
76,2021-06-16,2021-06-22,2021,6,3,6,1,3,80.3,1064.45,13.26,Celaya,Distribuidor,96-SUS,Suspensión,3516.22,1894,371,1523,5.11,Japón,QRO-CEL
77,2021-08-03,2021-08-04,2021,8,2,1,0,0,216.6,2575.27,11.89,León,Tier1,49-SUS,Suspensión,2456.79,4682,791,3891,5.92,México,QRO-MQZ
78,2026-05-01,2026-05-28,2026,5,5,27,1,21,157.3,2292.52,14.57,Corregidora,Tier1,80-SUS,Suspensión,3018.8,2364,799,1565,2.96,Japón,QRO-CEL
79,2026-05-17,2026-06-01,2026,5,0,15,1,5,308.5,2483.66,8.05,León,Tier1,52-ARN,Arneses,4854.61,3039,358,2681,8.49,USA,QRO-SJR
80,2026-03-19,2026-03-25,2026,3,4,6,1,3,305,3496.84,11.47,Querétaro,Tier1,95-SEN,Sensores,3843.72,3856,664,3192,5.81,Alemania,QRO-SLP
81,2026-05-03,2026-05-28,2026,5,0,25,1,19,342.2,4993.09,14.59,San Luis Potosí,Planta,56-SEN,Sensores,1253.34,3707,620,3087,5.98,México,QRO-SJR
82,2026-05-06,2026-05-27,2026,5,3,21,1,16,64.9,818.8,12.62,San Juan del Río,Tier1,79-SUS,Suspensión,2432.97,670,354,316,1.89,China,QRO-SJR
83,2025-12-26,2026-01-02,2025,12,5,7,1,4,313,4068.12,13,Celaya,Taller,42-ARN,Arneses,4312.83,3536,833,2703,4.24,China,QRO-SLP
84,2024-05-21,2024-05-22,2024,5,2,1,0,0,189.5,2972.87,15.69,Querétaro,Planta,38-ELE,Electrónica,2360.54,3797,195,3602,19.47,Alemania,QRO-SLP
85,2024-02-13,2024-02-18,2024,2,2,5,1,2,48.8,843.91,17.29,San Juan del Río,Tier1,75-ARN,Arneses,783.6,3454,262,3192,13.18,Japón,QRO-SLP
86,2023-07-23,2023-07-24,2023,7,0,1,0,0,170.8,1615.18,9.46,León,Planta,68-FRE,Frenos,3853.4,2725,382,2343,7.13,Alemania,QRO-MQZ
87,2024-01-24,2024-01-25,2024,1,3,1,0,0,245.8,2902.73,11.81,León,Tier1,43-ARN,Arneses,913.85,1716,755,961,2.27,México,QRO-CEL
88,2026-05-14,2026-06-01,2026,5,4,18,1,8,326.9,2781.8,8.51,San Juan del Río,Taller,35-SEN,Sensores,262.68,3794,321,3473,11.82,Japón,QRO-SJR
89,2026-05-25,2026-05-30,2026,5,1,5,0,0,26.3,375.27,14.27,León,Tier1,21-SUS,Suspensión,3922.67,482,217,265,2.22,Japón,QRO-SLP
90,2024-01-01,2024-01-04,2024,1,1,3,0,0,212.2,2543.95,11.99,San Juan del Río,Tier1,38-ELE,Electrónica,2360.54,3797,195,3602,19.47,China,QRO-SJR
91,2026-05-13,2026-05-29,2026,5,3,16,1,9,52.4,596.3,11.38,El Marqués,Tier1,6-FRE,Frenos,4765.97,4975,994,3981,5.01,USA,QRO-CEL
92,2026-05-07,2026-05-26,2026,5,4,19,1,15,73.2,981.09,13.4,Celaya,Planta,54-ELE,Electrónica,3166.45,2424,477,1947,5.08,USA,QRO-SLP
93,2024-05-09,2024-05-13,2024,5,4,4,1,1,211.8,2645.91,12.49,El Marqués,Tier1,58-SEN,Sensores,2617.63,4219,411,3808,10.27,Alemania,QRO-CEL
94,2023-02-15,2023-02-22,2023,2,3,7,1,4,205.9,3940.32,19.14,León,Planta,1-ARN,Arneses,3422.68,3382,224,3158,15.1,México,QRO-MQZ
95,2026-05-21,2026-05-26,2026,5,4,5,1,1,258.1,4986.37,19.32,San Juan del Río,Taller,52-SEN,Sensores,2701.62,2240,729,1511,3.07,Japón,QRO-SLP
96,2025-08-04,2025-08-07,2025,8,1,3,0,0,204.1,2013.46,9.87,San Juan del Río,Tier1,7-SUS,Suspensión,3185.28,4440,570,3870,7.79,México,QRO-CEL
97,2022-12-06,2022-12-13,2022,12,2,7,1,4,270.8,3520.45,13,El Marqués,Tier1,100-ELE,Electrónica,3513.62,1971,804,1167,2.45,USA,QRO-SLP
98,2021-03-09,2021-03-13,2021,3,2,4,1,1,117.6,1621.9,13.79,Querétaro,Taller,24-ELE,Electrónica,4055.81,2955,652,2303,4.53,México,QRO-MQZ
99,2021-08-28,2021-09-01,2021,8,6,4,1,1,245.4,2031.48,8.28,San Juan del Río,Planta,37-SEN,Sensores,3969.15,3602,841,2761,4.28,México,QRO-SLP
100,2026-05-08,2026-05-29,2026,5,5,21,1,14,293.4,3083.41,10.51,San Juan del Río,Planta,39-FRE,Frenos,1372.38,2726,706,2020,3.86,Alemania,QRO-MQZ
101,2026-05-15,2026-05-30,2026,5,5,15,1,7,246.6,4847.9,19.66,San Luis Potosí,Tier1,22-ARN,Arneses,4301.5,1604,436,1168,3.68,Japón,QRO-SJR
102,2023-10-03,2023-10-11,2023,10,2,8,1,5,73.2,1074.96,14.69,El Marqués,Planta,61-SUS,Suspensión,1710.59,631,965,-334,0.65,USA,QRO-CEL
103,2026-05-21,2026-05-29,2026,5,4,8,1,1,344.8,3866.94,11.22,El Marqués,Taller,31-ARN,Arneses,3016.79,2221,601,1620,3.7,China,QRO-CEL
104,2024-03-05,2024-03-08,2024,3,2,3,0,0,118.5,1684.91,14.22,Celaya,Taller,74-ARN,Arneses,1238.29,2950,908,2042,3.25,USA,QRO-SLP
105,2026-05-17,2026-05-31,2026,5,0,14,1,5,283.4,4370.24,15.42,León,Tier1,74-ELE,Electrónica,4728.06,3772,558,3214,6.76,México,QRO-MQZ
106,2026-01-29,2026-02-01,2026,1,4,3,0,0,252.5,2106.3,8.34,San Luis Potosí,Planta,18-SUS,Suspensión,340.23,926,375,551,2.47,China,QRO-CEL
107,2026-05-09,2026-05-29,2026,5,6,20,1,13,67.1,972.82,14.5,Querétaro,Tier1,65-ARN,Arneses,844,2641,720,1921,3.67,China,QRO-SLP
108,2026-05-21,2026-06-02,2026,5,4,12,1,1,95.4,1827.31,19.15,Celaya,Distribuidor,79-SUS,Suspensión,2432.97,670,354,316,1.89,México,QRO-SJR
109,2022-11-10,2022-11-11,2022,11,4,1,0,0,142.4,1725.38,12.12,Querétaro,Tier1,38-ARN,Arneses,2157.65,2477,447,2030,5.54,USA,QRO-MQZ
110,2022-01-05,2022-01-12,2022,1,3,7,1,4,109,1901.85,17.45,Corregidora,Distribuidor,42-SUS,Suspensión,1516.88,2245,576,1669,3.9,Alemania,QRO-SJR
111,2026-05-21,2026-05-29,2026,5,4,8,1,1,87.3,1469.07,16.83,León,Taller,88-SUS,Suspensión,1941.02,3880,832,3048,4.66,Japón,QRO-CEL
112,2026-05-19,2026-05-28,2026,5,2,9,1,3,248.1,2157.81,8.7,Corregidora,Tier1,42-ARN,Arneses,4312.83,3536,833,2703,4.24,Alemania,QRO-SJR
113,2025-09-01,2025-09-06,2025,9,1,5,1,2,26.9,223.57,8.31,Celaya,Planta,45-SEN,Sensores,754.06,1135,113,1022,10.04,Japón,QRO-MQZ
114,2024-06-21,2024-06-29,2024,6,5,8,1,5,186.2,2269.44,12.19,San Juan del Río,Tier1,64-ELE,Electrónica,4488.81,2018,103,1915,19.59,Japón,QRO-SJR
115,2024-06-03,2024-06-10,2024,6,1,7,1,4,107.1,953.94,8.91,San Luis Potosí,Tier1,74-ELE,Electrónica,4728.06,3772,558,3214,6.76,USA,QRO-SJR
116,2026-05-25,2026-06-03,2026,5,1,9,0,0,281.5,3490.46,12.4,León,Tier1,77-FRE,Frenos,1286.73,3721,625,3096,5.95,Japón,QRO-CEL
117,2024-09-07,2024-09-15,2024,9,6,8,1,5,21.1,396.96,18.81,Corregidora,Distribuidor,10-SUS,Suspensión,3974.3,2474,590,1884,4.19,Japón,QRO-CEL
118,2026-05-06,2026-05-26,2026,5,3,20,1,16,239.8,3186.71,13.29,San Luis Potosí,Planta,51-SUS,Suspensión,1327.15,4912,621,4291,7.91,USA,QRO-CEL
119,2024-02-13,2024-02-21,2024,2,2,8,1,5,187.4,1625.24,8.67,Celaya,Planta,61-SEN,Sensores,110.24,3207,891,2316,3.6,México,QRO-SJR
120,2021-07-15,2021-07-17,2021,7,4,2,0,0,141.7,1773.42,12.52,El Marqués,Tier1,33-FRE,Frenos,4635.35,4897,202,4695,24.24,México,QRO-CEL
121,2026-05-11,2026-05-25,2026,5,1,14,1,11,11.4,207.41,18.19,Corregidora,Tier1,2-FRE,Frenos,2261.86,2629,314,2315,8.37,Japón,QRO-CEL
122,2024-10-23,2024-10-29,2024,10,3,6,1,3,132.5,1368.06,10.32,Querétaro,Distribuidor,52-ELE,Electrónica,4788.22,421,203,218,2.07,China,QRO-SJR
123,2026-05-01,2026-05-26,2026,5,5,25,1,21,170.4,1724.84,10.12,Celaya,Taller,51-SEN,Sensores,3785.32,2882,317,2565,9.09,Alemania,QRO-CEL
124,2025-01-17,2025-01-24,2025,1,5,7,1,4,114.4,1523.83,13.32,León,Tier1,41-SEN,Sensores,4243.67,4515,377,4138,11.98,Alemania,QRO-MQZ
125,2025-07-07,2025-07-10,2025,7,1,3,0,0,131.3,2392.92,18.22,Corregidora,Distribuidor,43-SUS,Suspensión,2851.8,2949,285,2664,10.35,Alemania,QRO-CEL
126,2026-05-05,2026-05-26,2026,5,2,21,1,17,250.3,4142.3,16.55,León,Tier1,16-SEN,Sensores,498.65,4923,754,4169,6.53,Alemania,QRO-MQZ
127,2026-05-10,2026-05-28,2026,5,0,18,1,12,325.4,5243.77,16.11,León,Planta,45-SUS,Suspensión,2909.13,3021,431,2590,7.01,USA,QRO-SLP
128,2022-05-15,2022-05-20,2022,5,0,5,1,2,85.5,1386.38,16.21,León,Tier1,31-ELE,Electrónica,4149.51,2548,128,2420,19.91,China,QRO-SJR
129,2025-12-15,2025-12-22,2025,12,1,7,1,4,286.9,2625.26,9.15,San Luis Potosí,Tier1,10-SEN,Sensores,4186.41,1042,960,82,1.09,China,QRO-MQZ
130,2026-05-25,2026-06-09,2026,5,1,15,0,0,50.9,730.18,14.35,Querétaro,Tier1,65-ARN,Arneses,844,2641,720,1921,3.67,Japón,QRO-SJR
131,2023-02-02,2023-02-07,2023,2,4,5,1,2,327.7,3771.32,11.51,El Marqués,Taller,20-ELE,Electrónica,4578.72,3498,121,3377,28.91,USA,QRO-MQZ
132,2026-05-19,2026-05-31,2026,5,2,12,1,3,286.3,4022.32,14.05,El Marqués,Taller,96-ARN,Arneses,1067.24,3998,883,3115,4.53,México,QRO-SLP
133,2021-12-27,2022-01-03,2021,12,1,7,1,4,311.9,4678.37,15,El Marqués,Taller,82-FRE,Frenos,3559.78,1290,296,994,4.36,México,QRO-MQZ
134,2026-05-01,2026-05-31,2026,5,5,30,1,21,168.3,2691.14,15.99,Celaya,Tier1,50-SEN,Sensores,4354.41,2670,213,2457,12.54,México,QRO-CEL
135,2026-05-24,2026-05-26,2026,5,0,2,0,0,268.1,3617.45,13.49,León,Tier1,75-ARN,Arneses,783.6,3454,262,3192,13.18,México,QRO-CEL
136,2025-01-18,2025-01-26,2025,1,6,8,1,5,279.6,3591.54,12.85,El Marqués,Tier1,41-ELE,Electrónica,4687.71,920,702,218,1.31,México,QRO-CEL
137,2026-05-15,2026-05-26,2026,5,5,11,1,7,246.3,4244.07,17.23,San Juan del Río,Tier1,28-SEN,Sensores,1818.54,4432,701,3731,6.32,México,QRO-CEL
138,2023-03-23,2023-03-25,2023,3,4,2,0,0,220.8,3694.14,16.73,Querétaro,Tier1,64-SEN,Sensores,4961.2,4001,258,3743,15.51,México,QRO-CEL
139,2024-09-16,2024-09-18,2024,9,1,2,0,0,117.6,2108.17,17.93,Querétaro,Tier1,53-SUS,Suspensión,2062.9,3440,719,2721,4.78,China,QRO-SJR
140,2023-06-16,2023-06-21,2023,6,5,5,1,2,321.7,3441.83,10.7,León,Planta,9-ARN,Arneses,1971.31,2328,930,1398,2.5,Alemania,QRO-SJR
141,2026-05-12,2026-05-27,2026,5,2,15,1,10,344.2,6754.67,19.62,Querétaro,Taller,75-SUS,Suspensión,269.17,1657,967,690,1.71,Alemania,QRO-MQZ
142,2025-07-26,2025-07-28,2025,7,6,2,0,0,319.3,2589.53,8.11,San Juan del Río,Planta,45-ARN,Arneses,944.57,3020,180,2840,16.78,Japón,QRO-SJR
143,2023-02-24,2023-03-04,2023,2,5,8,1,5,302.5,5095.23,16.84,El Marqués,Taller,39-FRE,Frenos,1372.38,2726,706,2020,3.86,Alemania,QRO-SLP
144,2025-12-14,2025-12-15,2025,12,0,1,0,0,74.7,1459.1,19.53,León,Taller,11-SUS,Suspensión,588.59,823,217,606,3.79,Japón,QRO-SLP
145,2022-10-08,2022-10-15,2022,10,6,7,1,4,153.9,2636.39,17.13,Querétaro,Tier1,18-SUS,Suspensión,340.23,926,375,551,2.47,México,QRO-MQZ
146,2026-05-13,2026-05-26,2026,5,3,13,1,9,84.6,1001.46,11.84,San Juan del Río,Planta,81-FRE,Frenos,857.33,1893,403,1490,4.7,México,QRO-SLP
147,2024-08-24,2024-09-01,2024,8,6,8,1,5,273.3,2697.49,9.87,Celaya,Taller,3-SEN,Sensores,523.6,1191,770,421,1.55,Alemania,QRO-SLP
148,2022-03-20,2022-03-27,2022,3,0,7,1,4,203.4,3631.04,17.85,San Juan del Río,Planta,32-SEN,Sensores,1196.78,3120,728,2392,4.29,Japón,QRO-SLP
149,2021-01-05,2021-01-11,2021,1,2,6,1,3,18.2,353.57,19.43,León,Tier1,64-FRE,Frenos,3469.29,4865,898,3967,5.42,China,QRO-CEL
